Node_ID,x_int,y_int
481,136083,261636
482,136461,262299
483,136496,261679
484,135072,261909
485,133375,261291
486,134862,262191
487,133027,261254
488,132325,261180
489,132626,262242
490,132679,261218
491,132594,262596
492,127629,269047
493,127470,269553
494,127890,271297
495,127846,269613
496,127465,271317
497,126520,271223
498,126132,270853
499,126202,270131
500,126074,271257
501,126353,270514
502,126390,269774
503,126523,268946
504,126722,269495
505,125477,269334
506,126334,269258
507,125221,271462
508,124779,282550
509,124523,284679
510,123666,284755
511,123610,284239
512,123477,285067
513,123278,284518
514,123798,283881
515,123868,283159
516,123480,282790
517,123647,283498
518,123926,282756
519,122535,282695
520,122154,284400
521,122110,282716
522,122530,284459
523,122371,284966
524,125477,308834
525,126334,308758
526,127629,308547
527,126523,308446
528,127470,309053
529,126722,308995
530,127846,309113
531,126390,309274
532,126353,310014
533,126074,310757
534,126202,309631
535,126132,310353
536,126520,310723
537,127890,310797
538,125221,310962
539,127465,310817
540,124779,322050
541,124523,324179
542,123666,324255
543,122371,324466
544,123477,324567
545,122154,323900
546,123278,324018
547,122530,323959
548,123610,323739
549,123647,322998
550,123926,322256
551,123798,323381
552,123868,322659
553,123480,322290
554,122535,322195
555,22279,322050
556,122110,322216
557,22023,324179
558,21166,324255
559,19610,322216
560,20977,324567
561,20035,322195
562,20980,322290
563,21368,322659
564,21298,323381
565,21426,322256
566,21147,322998
567,21110,323739
568,20030,323959
569,20778,324018
570,19654,323900
571,19871,324466
572,14906,330916
573,14473,332258
574,14874,331270
575,14821,332295
576,14669,335084
577,15175,332332
578,15301,335483
579,15182,335943
580,16004,336640
581,15449,336179
582,16972,336131
583,17381,336455
584,16653,336298
585,16098,335838
586,15268,335127
587,15779,336005
588,14125,332222
589,12638,331322
590,11417,331877
591,12428,331604
592,11039,331214
593,11004,331833
594,8496,335873
595,7847,336214
596,7119,336057
597,7528,336382
598,8402,336675
599,9051,336333
600,9199,337030
601,9318,336570
602,8721,336507
603,9232,337385
604,9831,337428
605,13083,340636
606,13461,341299
607,13496,340679
608,12072,340909
609,10375,340291
610,11862,341191
611,10027,340254
612,9325,340180
613,9626,341242
614,9679,340218
615,9594,341596
616,4629,348047
617,4846,348613
618,2477,348334
619,4470,348553
620,3334,348258
621,3390,348774
622,3523,347946
623,3722,348495
624,3202,349131
625,3132,349853
626,2221,350462
627,3353,349514
628,3074,350257
629,4465,350317
630,3520,350223
631,4890,350297
632,19610,401216
633,20980,401290
634,20035,401195
635,21426,401256
636,22279,401050
637,21368,401659
638,21298,402381
639,20778,403018
640,21147,401998
641,21110,402739
642,21166,403255
643,22023,403179
644,20977,403567
645,20030,402959
646,19871,403466
647,19654,402900
648,14906,409916
649,12638,410322
650,14874,410270
651,11039,410214
652,11004,410833
653,12428,410604
654,11417,410877
655,14125,411222
656,14821,411295
657,14669,414084
658,15175,411332
659,14473,411258
660,15268,414127
661,15182,414943
662,15301,414483
663,15449,415179
664,16004,415640
665,15779,415005
666,16653,415298
667,16098,414838
668,16972,415131
669,17381,415455
670,20247,430558
671,36490,421771
672,113539,410214
673,113504,410833
674,114928,410604
